Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
3829,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Tomatoes (local),vegetables and fruits,346,52 KG,aggregate,Wholesale,GHS,25.71,4.43
3830,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,KG,aggregate,Retail,GHS,7.58,1.31
3831,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,Bunch,aggregate,Wholesale,GHS,124.01,21.38
3832,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apem),vegetables and fruits,705,KG,aggregate,Retail,GHS,8.16,1.41
3833,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apem),vegetables and fruits,705,Bunch,aggregate,Wholesale,GHS,201.07,34.67
3834,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (fresh),vegetables and fruits,713,KG,aggregate,Retail,GHS,2.58,0.45
3835,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (fresh),vegetables and fruits,713,20 KG,aggregate,Wholesale,GHS,331.95,57.23
3847,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (dried),vegetables and fruits,714,KG,aggregate,Retail,GHS,3.25,0.56
3858,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (dried),vegetables and fruits,714,16 KG,aggregate,Wholesale,GHS,485.33,83.68
3859,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Onions,vegetables and fruits,173,73 KG,aggregate,Wholesale,GHS,185.0,31.9
3860,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,KG,aggregate,Retail,GHS,5.75,0.99
3861,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,50 KG,aggregate,Wholesale,GHS,269.8,46.52
3862,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Millet,cereals and tubers,73,KG,aggregate,Retail,GHS,5.06,0.87
3863,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Millet,cereals and tubers,73,93 KG,aggregate,Wholesale,GHS,443.42,76.45
3864,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize (yellow),cereals and tubers,136,KG,aggregate,Retail,GHS,2.92,0.5
3865,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize (yellow),cereals and tubers,136,100 KG,aggregate,Wholesale,GHS,291.16,50.2
3866,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,KG,aggregate,Retail,GHS,2.67,0.46
3867,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,100 KG,aggregate,Wholesale,GHS,257.1,44.33
3868,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Gari,cereals and tubers,63,KG,aggregate,Retail,GHS,1.92,0.33
3869,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Gari,cereals and tubers,63,68 KG,aggregate,Wholesale,GHS,458.94,79.13
3870,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,KG,aggregate,Retail,GHS,2.73,0.47
3871,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,91 KG,aggregate,Wholesale,GHS,374.36,64.54
3875,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,50 KG,aggregate,Wholesale,GHS,251.52,43.37
3876,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,KG,aggregate,Retail,GHS,5.45,0.94
3877,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Sorghum,cereals and tubers,65,109 KG,aggregate,Wholesale,GHS,514.05,88.63
3878,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Sorghum,cereals and tubers,65,KG,aggregate,Retail,GHS,5.04,0.87
3879,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Eggplants,vegetables and fruits,434,KG,aggregate,Retail,GHS,5.7,0.98
3880,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Eggplants,vegetables and fruits,434,27 KG,aggregate,Wholesale,GHS,26.84,4.63
3881,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Soybeans,pulses and nuts,248,KG,aggregate,Retail,GHS,6.9,1.19
3882,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Soybeans,pulses and nuts,248,109 KG,aggregate,Wholesale,GHS,359.79,62.03
3883,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cowpeas (white),pulses and nuts,479,109 KG,aggregate,Wholesale,GHS,508.33,87.64
3884,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cowpeas,pulses and nuts,218,KG,aggregate,Retail,GHS,2.43,0.42
3885,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,"Meat (chicken, local)","meat, fish and eggs",792,10 KG,aggregate,Wholesale,GHS,215.32,37.12
3886,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Onions,vegetables and fruits,173,KG,aggregate,Retail,GHS,6.75,1.16
